id,title,description,provider,delivery_mode,cost_gbp,cost_category,duration,duration_category,access,education_outcome,target_audience,category,sub_theme,url,asset_category,review_status,image_url
202,Active Bystander training,"Active Bystander training

Switch on to Women's Safety - learn how to run ‘active bystander’ workshops for men
85% of women in Leeds have been harassed in the street and more than 20% have been sexually assaulted or raped. Our ‘Switch on to Women’s Safety’ workshop supports men to understand women’s experiences and find practical tools, ideas and solutions to do something about it while keeping themselves safe. It harnesses the empathy that men feel towards victims and builds their confidence by showing them that they can and in most cases have already made interventions that can make girls and women feel safe and respected.

Communication, Women",Fairhealth,Online or Face to Face,0,Free,4 hours,Less than a day,Register on website,Certificate of completion,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Adverse Childhood Experience"", ""Trauma""]",https://humansbeing.org.uk/switch-on-to-womens-safety/,"[""Course""]",Approved,
203,A student healthcare guide to supporting people experiencing homelessness,"A student healthcare guide to supporting people experiencing homelessness

This course provides a comprehensive understanding of homelessness and will equip you with the knowledge to provide holistic and effective care.

Health Inclusion",Fairhealth,Online,0,Free,60 mins,Less than an hour,Register on website,Certificate of completion,"[""Students""]","[""Health Inclusion Groups""]","[""Health Inclusion""]",https://www.fairhealth.org.uk/course/student-guide-homeless,"[""Course""]",Approved,
204,A practical guide to reducing health inequalities in primary care,"A practical guide to reducing health inequalities in primary care

The nature of general practice makes it ideally placed to be instrumental in tackling health inequity...
This module covers some practical ideas and considerations for how to tackle health inequality from the health care professional's perspective.",Fairhealth,Online,0,Free,60 mins,Less than an hour,Register on website,Certificate of completion,"[""Doctor"", ""Dentist"", ""Healthcare Support"", ""Care Worker"", ""Nursing and Midwifery""]","[""Health Inequalities""]","[""health Inequalities""]",https://www.fairhealth.org.uk/course/reduce-hi-primary-care,"[""Course""]",Approved,
205,All Our Health: Antimicrobial Resistance,"All Our Health: Antimicrobial Resistance
This is a bite-sized session to give health and care professionals an overview of antimicrobial resistance (AMR) - including key evidence, data and signposts to trusted resources to help prevent illness, protect health and promote wellbeing.
Antibiotics, antimicrobial, bacteria, care, dispensing, drug, guardian, health, infection, intervention, medication, medicine, patients, prescribing, prevention, primary, professional, promotion, protect, resistance, secondary, staff, stewardship, virus",eLfH,Online,0,"Free, Paid",>1 hour,Less than a day,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Antimicrobial resistance""]",https://portal.e-lfh.org.uk/Component/Details/571263,"[""Course""]",Approved,
206,All Our Health: Alcohol,"All Our Health: Alcohol
This is a bite-sized session to give health and care professionals an overview of alcohol - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Adult, chronic conditions, front-line, frontline, health, healthcare, healthy living, patients, professional, staff, alcohol, units, consumption, drinking, low risk, increasing risk, higher risk, alcohol dependence, intoxication, liver, cancer, Accident and emergency (ED), hospital, social care, housing, employment, crime, society",eLfH,Online,0,Free,>1 hour,Less than a day,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Alcohol and/or Drugs""]",https://portal.e-lfh.org.uk/Component/Details/587422,"[""Course""]",Approved,
207,All Our Health: Air Pollution,"All Our Health: Air Pollution
This is a bite-sized session to give health and care professionals an overview of air pollution - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Health, professional, prevention, air pollution, air quality, clean air, particulate matter, nitrogen dioxide, respiratory disease, lung cancer, asthma, cardiovascular disease, high pollution episodes, active travel, zero emission, low emission, ammonia, ozone, carbon monoxide, volatile organic compounds, VOCs, environmental, tobacco smoke, radon, ambient indoor, short-term exposure, long-term exposure",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Air Pollution""]",https://portal.e-lfh.org.uk/Component/Details/605802,"[""Course""]",Approved,
208,All Our Health: Adult Obesity,"All Our Health: Adult Obesity
This is a bite-sized session to give health and care professionals an overview of adult obesity - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Adult Obesity""]",https://portal.e-lfh.org.uk/Component/Details/571222,"[""Course""]",Approved,
209,"Adversity, Trauma and Resilience Knowledge Exchanges","Adversity, Trauma and Resilience Knowledge Exchanges
Our annual Adversity, Trauma and Resilience Knowledge Exchanges take place over three days each year and are run in partnership with the West Yorkshire Violence Reduction Partnership.
The events are open to anyone who works in this area.
The aim is to bring partners together to share evidence, best practice and explore progress made to help make sure West Yorkshire provides trauma informed and responsive services.
They are of particular interest to people working in the public, private, voluntary, community and social enterprise sector (VCSE) who share our joint ambition to work with people who have experienced abuse, violence, neglect, poverty, or discrimination, or who support those who have.
Communication.",WYICB,Face to Face,0,Free,3 days a year,Less than a week,Register on website,Not Applicable,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""ATR""]",https://www.wypartnership.co.uk/our-priorities/population-health-management/adversity-trauma-and-resilience/resources/adversity-and-trauma,"[""Course""]",Approved,
210,Adverse Childhood Experiences,"Adverse Childhood Experiences

Appreciate that what happens in childhood makes a difference to a child's mental and physical health, impacting on the rest of their life.
Describe 'Adverse Childhood Experiences' (ACEs) as a framework for understanding childhood trauma
Appreciate the long-term physical and psychological consequences of exposure to childhood trauma
Recognise common responses to trauma, including hypervigilance, dissociation, disconnection, and shame
Start to think about how to routinely and sensitively enquire about a history of trauma and adverse experience
Understand and begin to incorporate trauma-informed care into your personal practise
Think about yourself and the impact that caring can have

Communication, Compassion, Adverse Childhood Experience, Trauma",Fairhealth,Online,369,Free,1 day,Less than a day,Register on website,Certificate of completion,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Adverse Childhood Experience"", ""Trauma""]",https://www.fairhealth.org.uk/course/aces,"[""Course""]",Approved,
211,A brief introduction to Inclusion Health,"A brief introduction to Inclusion Health
Inclusion Health aims to prevent and redress unequal health outcomes for people from disadvantaged populations, including people experiencing homelessness, sex workers, vulnerable migrants and Gypsies and Travellers.
&nbsp;",Fairhealth,Online,0,Free,10-30 mins,Less than a day,Register on website,Certificate of completion,"[""All""]","[""Health Inclusion Groups""]","[""0""]",https://www.fairhealth.org.uk/course/intro-inclusion-health,"[""Course""]",Approved,
212,Alcohol or Drug Misuse Part 1 training,"Alcohol or Drug Misuse Part 1 training

Identify alcohol related harm and dependent drinking.
Diagnose severity of alcohol dependence.
Understand and describe treatment options.
Develop skills to effectively treat problem drinking.
Deliver enhanced services for problem drinkers

Fundamental Knowledge, Health promotion, Health prevention, Alcohol and/or drugs",SLD Training,Online or Face to Face,0,Paid,0,Various,Register on website,RGCP Accredited Certificate,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Alcohol and/or Drugs""]",https://www.sldtraining.co.uk/elearning,"[""Course""]",Approved,
213,Management of Alcohol Problems in Primary Care,"Management of Alcohol Problems in Primary Care

Identify alcohol related harm and dependent drinking.
Diagnose severity of alcohol dependence.
Understand and describe treatment options.
Develop skills to effectively treat problem drinking.
Deliver enhanced services for problem drinkers.",SLD Training,Online or Face to Face,0,Paid,0,Less than a week,Register on website,CPD Credits,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""ATR""]",https://www.sldtraining.co.uk/courses/management-of-alcohol-problems-in-primary-care-cpd-accredited,"[""Course""]",Approved,
